Timestamp,TransactionID,AccountID,Amount,Merchant,TransactionType,Location,Hour,DayOfWeek,IsHighAmount,AnomalyScore,Anomaly
2023-02-03 00:06:00,TXN1503,ACC3,99374.47,MerchantF,Withdrawal,Los Angeles,0.0,Friday,True,-0.044554657260450825,1
2023-01-16 00:22:00,TXN196,ACC7,98482.77,MerchantF,Withdrawal,Los Angeles,0.0,Monday,True,-0.04216696378368223,1
2023-01-21 00:28:00,TXN488,ACC9,96950.25,MerchantF,Withdrawal,Los Angeles,0.0,Saturday,True,-0.04216696378368223,1
2023-02-25 00:49:00,TXN179,ACC1,93506.94,MerchantF,Withdrawal,Los Angeles,0.0,Saturday,False,-0.03989053855937119,1
2023-01-24 00:28:00,TXN822,ACC12,93310.15,MerchantF,Withdrawal,Los Angeles,0.0,Tuesday,False,-0.03989053855937119,1
2023-02-04 00:30:00,TXN335,ACC15,96827.4,MerchantH,Transfer,Tokyo,0.0,Saturday,True,-0.03956262421254142,1
2023-03-21 00:18:00,TXN545,ACC13,97386.84,MerchantH,Transfer,Tokyo,0.0,Tuesday,True,-0.03956262421254142,1
2023-02-17 00:32:00,TXN1380,ACC1,99507.02,MerchantH,Transfer,Tokyo,0.0,Friday,True,-0.03956262421254142,1
2023-02-26 00:52:00,TXN1869,ACC15,98361.35,MerchantH,Transfer,Tokyo,0.0,Sunday,True,-0.03956262421254142,1
2023-03-15 01:11:00,TXN958,ACC14,662.62,MerchantF,Withdrawal,Los Angeles,1.0,Wednesday,False,-0.039173094300078426,1
2023-02-06 01:18:00,TXN509,ACC15,677.97,MerchantF,Withdrawal,Los Angeles,1.0,Monday,False,-0.039173094300078426,1
2023-02-16 01:56:00,TXN955,ACC2,660.74,MerchantF,Withdrawal,Los Angeles,1.0,Thursday,False,-0.039173094300078426,1
2023-02-20 00:25:00,TXN1807,ACC5,91864.21,MerchantF,Withdrawal,Los Angeles,0.0,Monday,False,-0.039126304920919286,1
2023-02-19 00:08:00,TXN918,ACC15,94987.87,MerchantH,Transfer,Tokyo,0.0,Sunday,True,-0.03727435069757434,1
2023-01-29 00:37:00,TXN1849,ACC1,94170.54,MerchantH,Transfer,Tokyo,0.0,Sunday,False,-0.03689387408908307,1
2023-03-11 02:28:00,TXN1880,ACC4,439.01,MerchantF,Withdrawal,Los Angeles,2.0,Saturday,False,-0.036863940746594714,1
2023-01-16 00:50:00,TXN399,ACC3,2056.93,MerchantF,Withdrawal,Los Angeles,0.0,Monday,False,-0.036789322043390804,1
2023-04-28 00:49:00,TXN58,ACC14,93700.28,MerchantH,Transfer,Tokyo,0.0,Friday,False,-0.03651365481879265,1
